,AbsBrC370
2018-07-22,1.2832055323009364
2018-07-23,2.2798233147164493
2018-07-24,2.438178435119039
2018-07-25,3.395861349466112
2018-07-26,3.266052557984914
2018-07-27,2.7796988511875216
2018-07-28,2.008903067258084
2018-07-29,2.584690003502951
2018-07-30,2.438782126289916
2018-07-31,3.885474162636605
2018-08-01,4.450657198739122
2018-08-02,3.3147917762397188
2018-08-03,2.578034724505782
2018-08-04,2.549795421964172
2018-08-05,2.464450511726044
2018-08-06,1.784173202309704
2018-08-07,1.7714977135211196
2018-08-08,1.326814773611394
2018-08-09,1.627655826301405
2018-08-10,1.9459099563455016
2018-08-11,1.982421563073392
2018-08-12,1.3813356613705772
2018-08-13,1.2110664554521275
2018-08-14,0.9475716925219054
2018-08-15,2.14117071150192
2018-08-16,2.1454441633701418
2018-08-17,2.5430092606028203
2018-08-18,2.120819989378961
2018-08-19,2.0475773042521137
2018-08-20,2.9171548538023027
2018-08-21,3.315297908511514
2018-08-22,
2018-08-23,3.696717328540912
2018-08-24,1.763396307880396
2018-08-25,0.8825518384871492
2018-08-26,0.6987698327325456
2018-08-27,2.2332380355672883
2018-08-28,2.6093931125478327
2018-08-29,2.021246593714111
2018-08-30,2.5620934710702787
2018-08-31,1.4789726181561436
2018-09-01,1.3228325808356425
2018-09-02,1.756469850591939
2018-09-03,3.078106129438103
2018-09-04,3.7254154275672775
2018-09-05,2.864903551577727
2018-09-06,3.771256782576363
2018-09-07,2.395690694643278
2018-09-08,2.165352524700912
2018-09-09,2.270891460530194
2018-09-10,4.192609383965233
2018-09-11,4.5309548477162025
2018-09-12,2.985305311741669
2018-09-13,2.7166792850956267
2018-09-14,3.521191354818676
2018-09-15,3.0698271355377464
2018-09-16,1.887577994012944
2018-09-17,2.289851173385188
2018-09-18,2.005063658064828
2018-09-19,3.044330165459886
2018-09-20,4.567317950424441
2018-09-21,2.801284645505544
2018-09-22,1.445510431535134
2018-09-23,1.0709806511163436
2018-09-24,1.551711867260167
2018-09-25,1.905557204118888
2018-09-26,1.689997510307158
2018-09-27,2.702786580157204
2018-09-28,4.025339482039489
2018-09-29,3.4434526874334286
2018-09-30,2.974008187660676
2018-10-01,1.9677143078913049
2018-10-02,2.079184528020732
2018-10-03,3.584144403191243
2018-10-04,4.007606451389071
2018-10-05,3.301092803116535
2018-10-06,2.5431649166588586
2018-10-07,1.849952560504177
2018-10-08,2.6686516664342146
2018-10-09,1.874261530039932
2018-10-10,1.5703238980523848
2018-10-11,1.032546588636045
2018-10-12,2.9478699374360304
2018-10-13,4.053110806091315
2018-10-14,3.0167306977510178
2018-10-15,4.006122134445626
2018-10-16,6.572782058915785
2018-10-17,5.529927206748728
2018-10-18,5.769950050309398
2018-10-19,6.231775106512768
2018-10-20,9.047047987826383
2018-10-21,6.741118456604926
2018-10-22,6.719375139078182
2018-10-23,7.991692325075117
2018-10-24,7.030449812923081
2018-10-25,8.296698410482051
2018-10-26,6.537951805012738
2018-10-27,5.535481951186481
2018-10-28,4.73780895320568
2018-10-29,3.897149641404545
2018-10-30,2.887728140503226
2018-10-31,1.2758360582931163
2018-11-01,4.04957321902404
2018-11-02,5.757566908331516
2018-11-03,12.749079695522354
2018-11-04,7.36699484855778
2018-11-05,1.1848600594137373
2018-11-06,3.674597001327706
2018-11-07,1.26395083960777
2018-11-08,2.2061279676326664
2018-11-09,1.831319486991425
2018-11-10,1.4034533133737856
2018-11-11,0.8406089403970206
2018-11-12,1.0637242957364348
2018-11-13,6.578323735720493
2018-11-14,6.232984686284307
2018-11-15,7.911801149231195
2018-11-16,8.890398812635043
2018-11-17,4.240506394708811
2018-11-18,
2018-11-19,22.61218687397348
2018-11-20,5.58046413236791
2018-11-21,15.269182697140277
2018-11-22,3.556170192072616
2018-11-23,1.6232013888601688
2018-11-24,11.96228175821387
2018-11-25,8.150176771937234
2018-11-26,4.082795704598194
2018-11-27,2.174624127126317
2018-11-28,17.50040176117369
2018-11-29,6.520005709634218
2018-11-30,4.987286059110741
2018-12-01,18.71012431309705
2018-12-02,22.278236058885867
2018-12-03,8.254568993066187
2018-12-04,4.2987750807981495
2018-12-05,12.048974151660891
2018-12-06,9.62302658514853
2018-12-07,8.757561922455507
2018-12-08,2.540859461952147
2018-12-09,2.093703590130206
2018-12-10,1.525491403509197
2018-12-11,14.062268561757811
2018-12-12,21.406789880506697
2018-12-13,12.95378492387912
2018-12-14,6.634077150962356
2018-12-15,30.00640221890456
2018-12-16,28.01713765673429
2018-12-17,4.195869405225401
2018-12-18,8.34936683406025
2018-12-19,4.130866533563546
2018-12-20,20.435258171977907
2018-12-21,22.966756406352182
2018-12-22,19.03576276437999
2018-12-23,7.787778305670526
2018-12-24,3.313415499994795
2018-12-25,13.06391370959076
2018-12-26,19.17983778422713
2018-12-27,22.104201974823013
2018-12-28,28.9963114594217
2018-12-29,41.69262772228375
2018-12-30,43.67601889652689
2018-12-31,41.653249213328536
